침대협탁	71926	[('1007013', 0.241), ('1001002', 0.489), ('1007020', 0.014), ('1014042', 0.011), ('1012006', 0.014), ('1007011', 0.008), ('1014020', 0.101), ('1404003', 0.005), ('1014023', 0.025), ('1014043', 0.001), ('1808011', 0.005), ('1404002', 0.009), ('1007010', 0.006), ('1012004', 0.01), ('1014034', 0.002), ('1808013', 0.002), ('2601033', 0.009), ('1001005', 0.002), ('1007002', 0.004), ('1012008', 0.002), ('1009004', 0.001), ('1808008', 0.004), ('1007005', 0.001), ('1404001', 0.005), ('1001006', 0.006), ('1014022', 0.001), ('1009020', 0.002), ('2401002', 0.003), ('1402014', 0.002), ('1807026', 0.001), ('1404004', 0.004), ('1011020', 0.001), ('1013009', 0.001), ('1006003', 0.001), ('1017009', 0.001), ('1407008', 0.001), ('1706016', 0.001), ('1305022', 0.001)]
벽시계	68733	[('1803002', 0.968), ('1808015', 0.007), ('1803006', 0.004), ('1801041', 0.001), ('1801009', 0.001), ('1002001', 0.001), ('1801012', 0.002), ('1802031', 0.001), ('1410002', 0.001), ('1807026', 0.001), ('1810015', 0.001), ('1803003', 0.001)]
1인소파	66723	[('1006003', 0.578), ('1003001', 0.106), ('1012003', 0.123), ('1012007', 0.04), ('1006001', 0.057), ('1006004', 0.04), ('1012008', 0.028), ('1012010', 0.008), ('1013009', 0.002), ('2002007', 0.001), ('1707003', 0.001), ('1706003', 0.001), ('1006002', 0.001), ('1810015', 0.001), ('1001002', 0.001), ('1013022', 0.001), ('1012004', 0.001), ('1701002', 0.001), ('1012006', 0.001), ('1706011', 0.001), ('1105019', 0.001), ('1009027', 0.001), ('1007006', 0.001)]
담요	66360	[('1707032', 0.959), ('1707003', 0.006), ('1704051', 0.004), ('1704050', 0.003), ('1706011', 0.004), ('1704054', 0.013), ('1704071', 0.001), ('2801010', 0.002), ('1704068', 0.001), ('2601025', 0.001), ('1801038', 0.001)]
시계	62902	[('1803002', 0.764), ('1803006', 0.169), ('1808011', 0.002), ('1801041', 0.002), ('1802031', 0.004), ('1808008', 0.001), ('1808013', 0.001), ('1803004', 0.004), ('1807028', 0.002), ('1801009', 0.001), ('1007017', 0.001), ('1803003', 0.01), ('1807026', 0.002), ('1802051', 0.001), ('1007020', 0.001), ('1002001', 0.001), ('1304037', 0.001), ('1809002', 0.001), ('1801023', 0.001), ('1001005', 0.001), ('1408011', 0.001), ('2401002', 0.001), ('1810015', 0.001), ('1806014', 0.001), ('1808015', 0.004), ('1408012', 0.001), ('1802018', 0.002), ('1804003', 0.001), ('1304033', 0.005), ('1806067', 0.001)]
달력	62546	[('1802031', 0.913), ('1801041', 0.026), ('1801009', 0.031), ('1803002', 0.002), ('1803006', 0.003), ('1802051', 0.001), ('1002001', 0.001), ('1802018', 0.003), ('1802022', 0.004), ('1807026', 0.002), ('1801007', 0.003), ('1801023', 0.001), ('1801042', 0.001), ('1802029', 0.001)]
패브릭포스터	61487	[('1801039', 0.295), ('1801033', 0.172), ('1705019', 0.13), ('1810028', 0.096), ('1801041', 0.013), ('1801031', 0.021), ('1801009', 0.008), ('1801029', 0.018), ('1801026', 0.01), ('1801038', 0.045), ('1802031', 0.028), ('1810026', 0.008), ('1801023', 0.009), ('1801028', 0.028), ('1801030', 0.03), ('1802051', 0.013), ('1801005', 0.004), ('1801032', 0.006), ('1801007', 0.002), ('1801034', 0.006), ('1810027', 0.016), ('1705022', 0.006), ('1707032', 0.012), ('1804003', 0.001), ('1707003', 0.002), ('1810014', 0.006), ('1801015', 0.001), ('1705021', 0.001), ('1801013', 0.002), ('1801042', 0.001), ('1705026', 0.001), ('1801043', 0.002), ('1705020', 0.001), ('1704051', 0.001)]
분리수거함	59391	[('1305021', 0.907), ('1403003', 0.009), ('1007011', 0.046), ('1305022', 0.016), ('1007020', 0.008), ('1013018', 0.001), ('1007021', 0.001), ('1404002', 0.002), ('1304039', 0.001), ('1610036', 0.001), ('1907003', 0.001), ('1404001', 0.001)]
접이식테이블	58867	[('1013004', 0.475), ('1001005', 0.236), ('1013009', 0.083), ('1001002', 0.052), ('1013010', 0.094), ('1009015', 0.024), ('1013007', 0.003), ('1013011', 0.003), ('2501083', 0.003), ('1012008', 0.002), ('1001001', 0.003), ('1013019', 0.002), ('2501003', 0.001), ('1001006', 0.003), ('1009016', 0.002), ('1007020', 0.001), ('1013002', 0.006), ('1013003', 0.001)]
화장품정리함	58740	[('1408011', 0.652), ('1408012', 0.067), ('1402014', 0.03), ('1609039', 0.098), ('1007020', 0.008), ('1408010', 0.008), ('1408013', 0.005), ('1408001', 0.011), ('1401002', 0.014), ('1404003', 0.006), ('1007011', 0.006), ('1609038', 0.031), ('1603021', 0.01), ('1402008', 0.003), ('1007010', 0.001), ('1401001', 0.003), ('1408005', 0.001), ('1403007', 0.005), ('1401008', 0.001), ('1402016', 0.003), ('1402005', 0.002), ('1404001', 0.004), ('1403006', 0.001), ('1402015', 0.001), ('1609050', 0.001), ('1403002', 0.002), ('1408006', 0.002), ('1807028', 0.001), ('1404002', 0.009), ('1809015', 0.002), ('1609040', 0.002), ('1403001', 0.001), ('1007012', 0.001), ('1405001', 0.001), ('1609046', 0.001)]
